cod_periodo;cod_segmento;cod_tarifa;cod_cliente;cod_terminal;consumo
201701;seg1;100;1850;1665;49
201701;seg1;100;3998;3598;13
201701;seg1;100;9216;8294;48
201701;seg1;100;5430;4887;27
201701;seg1;101;498;448;3
201701;seg1;101;8193;7374;26
201701;seg1;101;8534;7681;3
201701;seg1;101;9570;8613;15
201701;seg1;102;2726;2453;34
201701;seg1;102;9768;8791;11
201701;seg1;102;6882;6194;21
201701;seg1;102;5586;5027;14
201701;seg1;103;4758;4282;42
201701;seg1;103;6345;5711;30
201701;seg1;103;5826;5243;19
201701;seg1;103;7284;6556;25
201701;seg1;104;9312;8381;46
201701;seg1;104;5897;5307;15
201701;seg1;104;3910;3519;24
201701;seg1;104;6795;6116;8
201701;seg2;100;1665;1499;44
201701;seg2;100;2988;2689;47
201701;seg2;100;9005;8105;28
201701;seg2;100;495;446;7
201701;seg2;101;5113;4602;22
201701;seg2;101;1761;1585;33
201701;seg2;101;4048;3643;6
201701;seg2;101;4535;4082;10
201701;seg2;102;5748;5173;37
201701;seg2;102;4398;3958;2
201701;seg2;102;5224;4702;17
201701;seg2;102;227;204;36
201701;seg2;103;9371;8434;22
201701;seg2;103;9469;8522;36
201701;seg2;103;1033;930;9
201701;seg2;103;2689;2420;31
201701;seg2;104;4207;3786;4
201701;seg2;104;3585;3227;36
201701;seg2;104;1898;1708;7
201701;seg2;104;5618;5056;14
201701;seg3;100;3252;2927;28
201701;seg3;100;426;383;22
201701;seg3;100;9174;8257;26
201701;seg3;100;7318;6586;45
201701;seg3;101;5760;5184;9
201701;seg3;101;3313;2982;35
201701;seg3;101;1216;1094;9
201701;seg3;101;2706;2435;33
201701;seg3;102;4214;3793;2
201701;seg3;102;2708;2437;21
201701;seg3;102;8201;7381;42
201701;seg3;102;8769;7892;13
201701;seg3;103;3060;2754;20
201701;seg3;103;3491;3142;38
201701;seg3;103;5434;4891;31
201701;seg3;103;5529;4976;37
201701;seg3;104;3719;3347;32
201701;seg3;104;5572;5015;44
201701;seg3;104;5712;5141;38
201701;seg3;104;1484;1336;1
201702;seg1;100;8172;7355;33
201702;seg1;100;295;266;43
201702;seg1;100;3629;3266;19
201702;seg1;100;5105;4595;36
201702;seg1;101;3753;3378;11
201702;seg1;101;6862;6176;28
201702;seg1;101;5818;5236;9
201702;seg1;101;461;415;32
201702;seg1;102;6454;5809;5
201702;seg1;102;6201;5581;4
201702;seg1;102;6893;6204;9
201702;seg1;102;6205;5585;10
201702;seg1;103;2953;2658;32
201702;seg1;103;3848;3463;34
201702;seg1;103;4920;4428;41
201702;seg1;103;444;400;10
201702;seg1;104;790;711;7
201702;seg1;104;2244;2020;17
201702;seg1;104;7021;6319;25
201702;seg1;104;6313;5682;45
201702;seg2;100;3041;2737;46
201702;seg2;100;4406;3965;30
201702;seg2;100;7819;7037;21
201702;seg2;100;1253;1128;37
201702;seg2;101;1948;1753;41
201702;seg2;101;855;770;9
201702;seg2;101;3326;2993;35
201702;seg2;101;9276;8348;15
201702;seg2;102;2240;2016;7
201702;seg2;102;5906;5315;23
201702;seg2;102;4186;3767;13
201702;seg2;102;2305;2075;4
201702;seg2;103;4356;3920;34
201702;seg2;103;4227;3804;25
201702;seg2;103;8554;7699;30
201702;seg2;103;5123;4611;30
201702;seg2;104;440;396;26
201702;seg2;104;6888;6199;23
201702;seg2;104;8357;7521;15
201702;seg2;104;4032;3629;48
201702;seg3;100;4219;3797;39
201702;seg3;100;3311;2980;9
201702;seg3;100;9106;8195;13
201702;seg3;100;9560;8604;7
201702;seg3;101;2719;2447;28
201702;seg3;101;6582;5924;34
201702;seg3;101;143;129;38
201702;seg3;101;6083;5475;27
201702;seg3;102;201;181;32
201702;seg3;102;9641;8677;9
201702;seg3;102;6011;5410;49
201702;seg3;102;3512;3161;8
201702;seg3;103;6658;5992;3
201702;seg3;103;5819;5237;35
201702;seg3;103;4248;3823;3
201702;seg3;103;4855;4370;47
201702;seg3;104;6437;5793;27
201702;seg3;104;6342;5708;15
201702;seg3;104;2213;1992;28
201702;seg3;104;6064;5458;30
201703;seg1;100;359;323;40
201703;seg1;100;3858;3472;39
201703;seg1;100;2708;2437;10
201703;seg1;100;7548;6793;23
201703;seg1;101;3722;3350;20
201703;seg1;101;7784;7006;15
201703;seg1;101;9059;8153;15
201703;seg1;101;6202;5582;38
201703;seg1;102;5031;4528;21
201703;seg1;102;7663;6897;50
201703;seg1;102;5718;5146;40
201703;seg1;102;5120;4608;10
201703;seg1;103;9464;8518;41
201703;seg1;103;2908;2617;16
201703;seg1;103;5188;4669;40
201703;seg1;103;5158;4642;48
201703;seg1;104;4751;4276;47
201703;seg1;104;6400;5760;24
201703;seg1;104;6506;5855;26
201703;seg1;104;2339;2105;45
201703;seg2;100;6921;6229;21
201703;seg2;100;1460;1314;11
201703;seg2;100;1987;1788;39
201703;seg2;100;9908;8917;18
201703;seg2;101;4534;4081;14
201703;seg2;101;695;626;27
201703;seg2;101;1983;1785;2
201703;seg2;101;6853;6168;46
201703;seg2;102;4379;3941;12
201703;seg2;102;2082;1874;3
201703;seg2;102;4700;4230;34
201703;seg2;102;6680;6012;41
201703;seg2;103;1879;1691;46
201703;seg2;103;9451;8506;18
201703;seg2;103;6446;5801;38
201703;seg2;103;2281;2053;47
201703;seg2;104;4429;3986;33
201703;seg2;104;8605;7745;33
201703;seg2;104;5470;4923;11
201703;seg2;104;3847;3462;35
201703;seg3;100;2874;2587;14
201703;seg3;100;9475;8528;35
201703;seg3;100;7867;7080;43
201703;seg3;100;8086;7277;11
201703;seg3;101;8875;7988;49
201703;seg3;101;7232;6509;32
201703;seg3;101;7541;6787;8
201703;seg3;101;2090;1881;28
201703;seg3;102;9719;8747;28
201703;seg3;102;1819;1637;10
201703;seg3;102;7384;6646;48
201703;seg3;102;3981;3583;14
201703;seg3;103;2275;2048;38
201703;seg3;103;3618;3256;1
201703;seg3;103;4209;3788;0
201703;seg3;103;1679;1511;29
201703;seg3;104;9408;8467;21
201703;seg3;104;9636;8672;41
201703;seg3;104;288;259;37
201703;seg3;104;4528;4075;17
201704;seg1;100;9781;8803;49
201704;seg1;100;4930;4437;20
201704;seg1;100;9530;8577;34
201704;seg1;100;51;46;0
201704;seg1;101;1772;1595;32
201704;seg1;101;9879;8891;5
201704;seg1;101;4544;4090;50
201704;seg1;101;7940;7146;35
201704;seg1;102;1791;1612;38
201704;seg1;102;1778;1600;18
201704;seg1;102;6213;5592;4
201704;seg1;102;9142;8228;42
201704;seg1;103;9376;8438;32
201704;seg1;103;1088;979;1
201704;seg1;103;7908;7117;11
201704;seg1;103;6072;5465;32
201704;seg1;104;2434;2191;43
201704;seg1;104;4562;4106;2
201704;seg1;104;1651;1486;3
201704;seg1;104;2347;2112;49
201704;seg2;100;1258;1132;22
201704;seg2;100;88;79;21
201704;seg2;100;7903;7113;8
201704;seg2;100;869;782;25
201704;seg2;101;6538;5884;1
201704;seg2;101;1234;1111;0
201704;seg2;101;9733;8760;4
201704;seg2;101;2891;2602;10
201704;seg2;102;7658;6892;24
201704;seg2;102;8928;8035;18
201704;seg2;102;2114;1903;24
201704;seg2;102;1220;1098;41
201704;seg2;103;8745;7871;43
201704;seg2;103;5100;4590;37
201704;seg2;103;4186;3767;30
201704;seg2;103;4945;4451;23
201704;seg2;104;9899;8909;18
201704;seg2;104;4111;3700;5
201704;seg2;104;8023;7221;23
201704;seg2;104;1076;968;3
201704;seg3;100;5654;5089;21
201704;seg3;100;8138;7324;6
201704;seg3;100;9937;8943;15
201704;seg3;100;9683;8715;23
201704;seg3;101;1441;1297;35
201704;seg3;101;4606;4145;39
201704;seg3;101;6696;6026;14
201704;seg3;101;6580;5922;40
201704;seg3;102;1174;1057;14
201704;seg3;102;2942;2648;50
201704;seg3;102;9724;8752;45
201704;seg3;102;4123;3711;19
201704;seg3;103;6798;6118;20
201704;seg3;103;9447;8502;31
201704;seg3;103;4055;3650;23
201704;seg3;103;2298;2068;25
201704;seg3;104;7275;6548;22
201704;seg3;104;1932;1739;3
201704;seg3;104;2664;2398;17
201704;seg3;104;655;590;8
201705;seg1;100;711;640;25
201705;seg1;100;3012;2711;30
201705;seg1;100;3170;2853;25
201705;seg1;100;7900;7110;25
201705;seg1;101;9134;8221;20
201705;seg1;101;6288;5659;49
201705;seg1;101;3413;3072;6
201705;seg1;101;9987;8988;24
201705;seg1;102;3789;3410;13
201705;seg1;102;1303;1173;16
201705;seg1;102;884;796;24
201705;seg1;102;612;551;17
201705;seg1;103;7238;6514;4
201705;seg1;103;7238;6514;41
201705;seg1;103;7665;6899;30
201705;seg1;103;3267;2940;24
201705;seg1;104;7325;6593;27
201705;seg1;104;5566;5009;41
201705;seg1;104;5524;4972;39
201705;seg1;104;159;143;21
201705;seg2;100;7268;6541;1
201705;seg2;100;8295;7466;32
201705;seg2;100;9484;8536;14
201705;seg2;100;6347;5712;26
201705;seg2;101;4380;3942;42
201705;seg2;101;9947;8952;46
201705;seg2;101;1914;1723;40
201705;seg2;101;9351;8416;6
201705;seg2;102;1302;1172;23
201705;seg2;102;5035;4532;27
201705;seg2;102;1571;1414;7
201705;seg2;102;7419;6677;13
201705;seg2;103;3899;3509;25
201705;seg2;103;1798;1618;6
201705;seg2;103;6693;6024;5
201705;seg2;103;6807;6126;28
201705;seg2;104;9419;8477;5
201705;seg2;104;9247;8322;19
201705;seg2;104;6833;6150;31
201705;seg2;104;3353;3018;34
201705;seg3;100;8044;7240;13
201705;seg3;100;2729;2456;9
201705;seg3;100;5411;4870;2
201705;seg3;100;9099;8189;6
201705;seg3;101;3876;3488;32
201705;seg3;101;6547;5892;49
201705;seg3;101;6812;6131;48
201705;seg3;101;5030;4527;31
201705;seg3;102;8070;7263;3
201705;seg3;102;3990;3591;25
201705;seg3;102;7340;6606;17
201705;seg3;102;4378;3940;43
201705;seg3;103;6270;5643;29
201705;seg3;103;7951;7156;41
201705;seg3;103;3211;2890;32
201705;seg3;103;2910;2619;33
201705;seg3;104;9171;8254;13
201705;seg3;104;2746;2471;2
201705;seg3;104;9486;8537;35
201705;seg3;104;532;479;48
201706;seg1;100;2812;2531;17
201706;seg1;100;1577;1419;46
201706;seg1;100;595;536;44
201706;seg1;100;811;730;6
201706;seg1;101;5650;5085;26
201706;seg1;101;4935;4442;39
201706;seg1;101;8228;7405;4
201706;seg1;101;2989;2690;40
201706;seg1;102;7290;6561;32
201706;seg1;102;3337;3003;14
201706;seg1;102;9933;8940;47
201706;seg1;102;5617;5055;9
201706;seg1;103;7840;7056;7
201706;seg1;103;1339;1205;12
201706;seg1;103;9774;8797;35
201706;seg1;103;5298;4768;12
201706;seg1;104;3329;2996;35
201706;seg1;104;9979;8981;26
201706;seg1;104;1419;1277;48
201706;seg1;104;3045;2741;7
201706;seg2;100;5377;4839;32
201706;seg2;100;3636;3272;4
201706;seg2;100;3901;3511;30
201706;seg2;100;3462;3116;12
201706;seg2;101;6999;6299;42
201706;seg2;101;8126;7313;47
201706;seg2;101;9938;8944;25
201706;seg2;101;8015;7214;34
201706;seg2;102;3521;3169;35
201706;seg2;102;6024;5422;27
201706;seg2;102;6100;5490;47
201706;seg2;102;8093;7284;49
201706;seg2;103;6454;5809;44
201706;seg2;103;3913;3522;41
201706;seg2;103;4259;3833;30
201706;seg2;103;9374;8437;28
201706;seg2;104;7755;6980;8
201706;seg2;104;9691;8722;44
201706;seg2;104;8851;7966;11
201706;seg2;104;9869;8882;5
201706;seg3;100;2879;2591;16
201706;seg3;100;6190;5571;24
201706;seg3;100;9170;8253;20
201706;seg3;100;9032;8129;32
201706;seg3;101;9434;8491;38
201706;seg3;101;9296;8366;2
201706;seg3;101;3407;3066;48
201706;seg3;101;2957;2661;27
201706;seg3;102;6485;5837;18
201706;seg3;102;82;74;2
201706;seg3;102;3151;2836;21
201706;seg3;102;7798;7018;35
201706;seg3;103;7973;7176;7
201706;seg3;103;7282;6554;34
201706;seg3;103;6890;6201;33
201706;seg3;103;4193;3774;38
201706;seg3;104;3433;3090;35
201706;seg3;104;9825;8843;2
201706;seg3;104;2260;2034;17
201706;seg3;104;4214;3793;33
