Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
SANTA CRUZ DE TENERIFE;CUESTA, LA               ;38320;AVENIDA LOS MENCEYES, 223;D;01/08/2020 13:53;0,758;PCAN;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38200;CARRETERA TF-111 KM. 8,346;D;01/08/2020 09:00;0,759;OCEANO;P;dm;L-S: 06:00-22:00 D: 07:00-22:00;L-S: 06:00-22:00 (A) D: 07:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38110;CALLE LAURA GROTE DE LA PUERTA, 2;D;27/07/2020 12:02;0,769;GMOIL;P;dm;L-V: 24H S: 06:00-20:00 D: 08:00-15:00;L-V: 24H (A) S: 06:00-20:00 (A) D: 08:00-15:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38010;POLIGONO EL MAYORAZGO, S/N;N;29/07/2020 00:00;0,789;TGAS-TU TREBOL;P;dm;L-S: 07:30-21:00 D: 08:00-14:00;L-S: 07:30-21:00 (A) D: 08:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ADEJE                    ;38670;CALLE CHARFA ESQUINA AVENIDA LAS PALMITAS, S/N;D;27/07/2020 11:59;0,789;GMOIL;P;dm;L-S: 07:00-22:00 D: 09:00-16:00;L-S: 07:00-22:00 (A) D: 09:00-16:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38010;CALLE SUBIDA AL MAYORAZGO, 7;D;27/07/2020 09:34;0,789;CANARY OIL, S.L.;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
MELILLA;MELILLA                  ;52005;PLAZA MARTIN DE CORDOBA, 17;D;22/07/2020 03:00;0,818;SHELL;P;dm;L-S: 07:00-23:00;L-S: 07:00-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52001;CALLE ALFONSO XIII, 84;N;30/07/2020 00:00;0,818;SHELL ALFONSO XIII;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52001;CALLE MARQUEZ MONTEMAR, ESQ. CARLOS V, S/N;N;30/07/2020 00:00;0,818;SHELL CARLOS V;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (P);01/08/2020
MELILLA;MELILLA                  ;52001;CALLE ACTOR TALLAVI, S/N;N;30/07/2020 00:00;0,818;SHELL PUENTE TRIANA;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52006;GENERAL POLAVIEJA Nº 2;D;22/07/2020 03:00;0,818;SHELL;P;dm;L-S: 07:00-02:00;L-S: 07:00-02:00 (A);01/08/2020
MELILLA;MELILLA                  ;52001;ALFEREZ PROVISIONALES S/N;D;22/07/2020 03:00;0,818;SHELL;P;dm;L-S: 07:00-23:00;L-S: 07:00-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52006;PASEO DE LAS MARGARITAS, 21;D;29/07/2020 00:00;0,819;CEPSA;P;OM;L-S: 07:00-23:00;L-S: 07:00-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52006;ZONA SERVICIO DEL PUERTO DE MELILLA, S/N;D;29/07/2020 07:00;0,819;CEPSA;P;dm;L-S: 07:30-23:30;L-S: 07:30-23:30 (A);01/08/2020
MELILLA;MELILLA                  ;52006;CALLE GENERAL ASTILLEROS, 89;D;30/07/2020 12:30;0,819;BP;P;dm;L-S: 06:45-23:00;L-S: 06:45-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52006;CALLE GENERAL POLAVIEJA, 1;N;30/07/2020 12:28;0,819;BP PUENTE;P;dm;L-S: 07:00-00:00;L-S: 07:00-00:00 (A);01/08/2020
MELILLA;MELILLA                  ;52002;CALLE GARCIA CABRELLES, 42;D;30/07/2020 18:57;0,819;BP;P;dm;L: 07:30-23:00;L: 07:30-23:00 (A);01/08/2020
MELILLA;MELILLA                  ;52001;CALLE GENERAL ASTILLEROS, 2;D;29/07/2020 00:00;0,819;CEPSA;P;OM;L-S: 08:00-23:00;L-S: 08:00-23:00 (A);01/08/2020
