Fecha_extraccion;Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo venta;Rem;Horario;Tipo_servicio
01/08/2020;MADRID;MADRID                   ;28031;CARRETERA VILLAVERDE A VALLECAS KM. 267;I;31/07/2020 16:30;1,037;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MADRID                   ;28000;CARRETERA VILLAVERDE A VALLECAS KM. 283;D;28/07/2020 17:04;1,037;SIOMN GRUP;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28940;CC. LORANCA ALCAMPO FUENLABRADA (AV. PABLO IGLESIAS, S/N, CIUDAD LORANCA);N;28/07/2020 17:51;1,039;ALCAMPO FUENLABRADA;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCORCON                 ;28922;AVENIDA EUROPA, S/N;D;28/07/2020 21:00;1,039;ALCAMPO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28942;CALLE ENEBRO, 17;D;31/07/2020 16:30;1,039;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;FUENLABRADA              ;28944;CALLE ALMANZOR, 11;D;31/07/2020 09:52;1,055;CCA;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28944;CALLE ANETO, 1;D;01/08/2020 10:53;1,057;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;CIEMPOZUELOS             ;28350;CALLE DEL CEDRO, 5;N;01/08/2020 10:01;1,057;SIMPLY;P;dm;"L-S: 06:00-00:00; D: 08:00-00:00";"L-S: 06:00-00:00 (A); D: 08:00-00:00 (A)"
01/08/2020;MADRID;MADRID                   ;28031;CAMINO HORMIGUERAS, 153;D;27/07/2020 20:55;1,057;ZERO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MOSTOLES                 ;28936;CALLE SIMON HERNANDEZ (DE), 73;N;24/07/2020 16:13;1,059;LAVAPLUS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MOSTOLES                 ;28936;CALLE SIMON HERNANDEZ, 75;D;29/07/2020 11:38;1,059;GHC MOSTOLES;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MOSTOLES                 ;28936;CALLE TORRES QUEVEDO, 6;N;23/07/2020 18:19;1,059;PETROL MÓSTOLES;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28944;CALLE LUIS SAUQUILLO, 131;D;31/07/2020 16:30;1,059;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;FUENLABRADA;28912;CALLE LUIS SAUQUILLO, 86;D;31/07/2020 16:30;1,059;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;GETAFE                   ;28906;CALLE AGUSTIN DE BETANCOURT, 17;N;29/07/2020 10:50;1,062;COSTCO ;P;dm;L-D: 07:00-20:00;L-D: 07:00-20:00 (A)
01/08/2020;MADRID;PARLA                    ;28980;AVENIDA CERRO DEL RUBAL, 12;D;27/07/2020 10:12;1,065;SERVIFACIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28031;CAMINO POZO DEL TIO RAIMUNDO, 6;D;01/08/2020 10:53;1,067;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
